movie title,Cleaned_Overview
Star Wars,luke skywalker joins forces jedi knight cocky pilot wookiee droids save galaxy empires worlddestroying battle station attempting rescue princess leia mysterious darth vader
The Gray Man,cias skilled operativewhose true identity is known noneaccidentally uncovers dark agency secrets psychopathic colleague puts bounty head setting global manhunt international assassins
Avengers: Endgame,devastating events avengers infinity war 2018 universe is ruins help remaining allies avengers assemble order reverse thanos actions restore balance universe
The Lady of Heaven,stories separated 1400 years losing mother midst wartorn country iraqi child learns importance power patience discovering historical story lady fatima suffering
Pirates of the Caribbean: The Curse of the Black Pearl,blacksmith turner teams eccentric pirate captain jack sparrow save love governors daughter jacks pirate allies who are undead
Eternals,saga eternals race immortal beings who lived earth shaped history civilizations
Free Guy,bank teller discovers hes actually npc inside brutal open world video game
The Matrix Resurrections,return world realities one everyday life lies reality is construct truly know mr anderson choose follow white rabbit
Mission: Impossible,american agent false suspicion disloyalty discover expose real spy help organization
Memory,assassinforhire finds hes target refuses complete job dangerous criminal organization remake 2003 belgian film memory killer
Memory,plot kept wraps
Star Wars: Episode I - The Phantom Menace,jedi escape hostile blockade allies come young boy who bring balance force long dormant sith resurface claim original glory
The Adam Project,accidentally crashlanding 2022 timetraveling fighter pilot adam reed teams 12yearold self mission save future
The King's Man,early years 20th century kingsman agency is formed stand cabal plotting war wipe millions
The Dark Knight,menace known as joker wreaks havoc chaos people gotham batman accept one greatest psychological physical tests ability fight injustice
Aquaman,arthur curry humanborn heir underwater kingdom atlantis goes quest prevent war worlds ocean land
The Gentlemen,american expat tries sell highly profitable marijuana empire london triggering plots schemes bribery blackmail attempt steal domain
Mission: Impossible - Fallout,ethan hunt imf team familiar allies race time mission gone wrong
Samrat Prithviraj,fearless warrior epic love story witness grand saga samrat prithviraj chauhan
Blade Runner 2049,young blade runner ks discovery longburied secret leads track blade runner rick deckard whos missing thirty years
Inception,thief who steals corporate secrets use dreamsharing technology is given inverse task planting idea mind ceo tragic past doom project team disaster
Moonfall,mysterious force knocks moon orbit sends hurtling collision course earth
Avatar: The Way of Water,jake sully lives newfound family formed planet pandora familiar threat returns finish previously started jake work neytiri army navi race protect planet
Major,based life major sandeep unnikrishnan who martyred action november 2008 mumbai attacks consequently awarded ashoka chakra indias highest peacetime gallantry award 26 january 2009
Star Wars: Episode III - Revenge of the Sith,years clone wars jedi rescue palpatine count dooku as obiwan pursues new threat anakin acts as double agent jedi council palpatine is lured sinister plan rule galaxy
Mission: Impossible - Dead Reckoning - Part One,seventh entry longrunning mission impossible series
The Contractor,discharged special forces sergeant james harper risks family joins private contracting organization
The Contractor,group young international military fighters join tough veteran leader protect young boy family murdered figure who are good guys bad guys end dead
Road House,tough bouncer is hired tame dirty bar
Mission: Impossible - Ghost Protocol,imf is shut implicated bombing kremlin causing ethan hunt new team rogue clear organizations
Star Wars: Episode IX - The Rise of Skywalker,riveting conclusion landmark skywalker saga new legends bornand final battle freedom is come
Venom: Let There Be Carnage,eddie brock attempts reignite career interviewing serial killer cletus kasady who host symbiote carnage escapes prison failed execution
Heat,group highend professional thieves start feel heat lapd unknowingly leave clue latest heist
Nobody,docile family man slowly reveals true character house gets burgled petty thieves coincidentally leads bloody war russian crime boss
Avatar,paraplegic marine dispatched moon pandora unique mission torn following orders protecting world feels is home
The Suicide Squad,supervillains harley quinn bloodsport peacemaker collection nutty cons belle reve prison join supersecret supershady task force x as are dropped remote enemyinfused island corto maltese
Avengers: Infinity War,avengers allies willing sacrifice attempt defeat powerful thanos blitz devastation ruin puts end universe
Thor: Ragnarok,imprisoned planet sakaar thor race time return asgard stop ragnarök destruction world hands powerful ruthless villain hela
Spree,thirsty following kurt kunkle is rideshare driver who figured deadly plan viral
Guardians of the Galaxy,group intergalactic criminals pull stop fanatical warrior plans purge universe
The Last Duel,king charles vi declares knight jean carrouges settle dispute squire challenging duel
Mission: Impossible II,imf agent ethan hunt is sent sydney destroy genetically modified disease called chimera
Wrath of Man,plot follows h cold mysterious character working cash truck company responsible moving hundreds millions dollars los angeles week
Pirates of the Caribbean: Dead Men Tell No Tales,captain jack sparrow is pursued old rival captain salazar crew deadly ghosts who escaped devils triangle theyre determined kill pirate seanotably jack
Star Wars: Episode II - Attack of the Clones,years initially meeting anakin skywalker shares forbidden romance padmé amidala obiwan kenobi investigates assassination attempt senator discovers secret clone army crafted jedi
Sonic the Hedgehog,discovering small blue fast hedgehog smalltown police officer help defeat evil genius who wants experiments
The Lord of the Rings: The Fellowship of the Ring,meek hobbit shire companions set journey destroy powerful one ring save middleearth dark lord sauron
Aquaman and the Lost Kingdom,plot unknown sequel 2018 film aquaman
Star Wars: Episode VI - Return of the Jedi,daring mission rescue han solo jabba hutt rebels dispatch endor destroy second death star luke struggles help darth vader dark falling emperors trap
The Amazing Spider-Man,peter parker is bitten genetically altered spider gains newfound spiderlike powers ventures save city machinations mysterious reptilian foe
Spectre,cryptic message james bonds past sends trail uncover existence sinister organisation named spectre new threat dawning bond learns terrible truth author pain recent missions
The Hunger Games: The Ballad of Songbirds and Snakes,coriolanus snow mentors develops feelings female district 12 tribute 10th hunger games
Watchmen,1985 superheroes exist murder colleague sends active vigilante rorschach sprawling investigation uncovering completely change course history as know
Tenet,armed one word tenet fighting survival entire world protagonist journeys twilight world international espionage mission unfold real time
Shang-Chi and the Legend of the Ten Rings,shangchi master weaponrybased kung fu is forced confront past drawn rings organization
Ghostbusters,parapsychologists forced university funding set shop as unique ghost removal service new york city attracting frightened skeptical customers
The Hunger Games,katniss everdeen voluntarily takes younger sisters place hunger games televised competition teenagers districts panem are chosen random fight death
The Mortal Instruments: City of Bones,mother disappears clary fray learns descends line warriors who protect world demons joins forces like heads dangerous alternate new york called shadow world
Black Widow,natasha romanoff confronts darker parts ledger dangerous conspiracy ties past arises
Willow,young farmer is chosen undertake perilous journey order protect special baby evil queen
Independence Day,aliens are coming goal is invade destroy earth fighting superior technology mankinds best weapon is survive
Mission: Impossible - Rogue Nation,ethan team impossible mission eradicate international rogue organization as highly skilled as are committed destroying imf
Casino Royale,earning 00 status licence kill secret agent james bond sets mission as 007 bond defeat private banker funding terrorists highstakes game poker casino royale montenegro
The Fifth Element,colorful future cab driver unwittingly central figure search legendary cosmic weapon evil mr zorg bay
Deadpool,wisecracking mercenary gets experimented immortal ugly sets track man who ruined looks
Doctor Strange,journey physical spiritual healing brilliant neurosurgeon is drawn world mystic arts
Enola Holmes,enola holmessherlocks teen sisterdiscovers mother missing sets supersleuth right as outwits famous brother unravels dangerous conspiracy mysterious young lord
Divergent,world divided factions based virtues tris learns shes divergent wont fit discovers plot destroy divergents tris mysterious makes divergents dangerous late
The Accountant,as math savant uncooks books new client treasury department closes activities body count starts rise
Spider-Man,bitten genetically modified spider nerdy shy awkward high school student gains spiderlike abilities eventually use fight evil as superhero tragedy befalls family
Operation Fortune: Ruse de guerre,special agent orson fortune team operatives recruit one hollywoods biggest movie stars help undercover mission sale deadly new weapons technology threatens disrupt world order
Zack Snyder's Justice League,determined ensure supermans ultimate sacrifice vain bruce wayne aligns forces diana prince plans recruit team metahumans protect world approaching threat catastrophic proportions
Die Hard,nypd officer tries save wife taken hostage german terrorists christmas party nakatomi plaza los angeles
Mission: Impossible III,imf agent ethan hunt comes conflict dangerous sadistic arms dealer who threatens life fiancée response
Blade Runner,blade runner pursue terminate replicants who stole ship space returned earth creator
Mad Max: Fury Road,postapocalyptic wasteland woman rebels tyrannical ruler search homeland aid group female prisoners psychotic worshiper drifter named max
K.G.F: Chapter 2,bloodsoaked kolar gold fields rockys strikes fear foes allies look government sees as threat law order rocky battle threats sides unchallenged supremacy
White Elephant,exmarine enforcer battle conscience code honor is forced things mob
Blacklight,travis block is government operative coming terms shadowy past discovers plot targeting citizens block finds crosshairs fbi director helped protect
Pirates of the Caribbean: Dead Man's Chest,jack sparrow races recover heart davy jones avoid enslaving soul jones service as friends foes seek heart agenda as
Spider-Man: Homecoming,peter parker balances life as ordinary high school student queens superhero alterego spiderman finds trail new menace prowling skies new york city
Resident Evil: Welcome to Raccoon City,set 1998 origin story explores secrets mysterious spencer mansion illfated raccoon city
Captain Marvel,carol danvers one universes powerful heroes earth is caught middle galactic war alien races
Aliens,fiftyseven years surviving apocalyptic attack aboard space vessel merciless space creatures officer ripley awakens hypersleep tries warn who listen predators
1917,april 6th 1917 as infantry battalion assembles wage war deep enemy territory soldiers are assigned race time deliver message stop 1600 men walking straight deadly trap
Star Wars: Episode VII - The Force Awakens,as new threat galaxy rises rey desert scavenger finn exstormtrooper join han solo chewbacca search one hope restoring peace
The Matrix,beautiful stranger leads computer hacker neo forbidding underworld discovers shocking truththe life knows is elaborate deception evil cyberintelligence
The Flash,plot is unknown feature film based comic book superhero flash
Gladiator,roman general sets exact vengeance corrupt emperor who murdered family sent slavery
Kingsman: The Secret Service,spy organisation recruits promising street kid agencys training program global threat emerges twisted tech genius
Predator,team commandos mission central american jungle hunted extraterrestrial warrior
Red Notice,interpol agent successfully tracks worlds wanted art thief help rival thief is as as series doublecrosses ensue
Spider-Man: Into the Spider-Verse,teen miles morales spiderman universe join spiderpowered individuals dimensions stop threat realities
The Mummy,archaeological dig ancient city hamunaptra american serving french foreign legion accidentally awakens mummy who begins wreak havoc as searches reincarnation longlost love
Batman Begins,training mentor batman begins fight free crimeridden gotham city corruption
Star Wars: Episode VIII - The Last Jedi,star wars saga continues as new heroes galactic legends epic adventure unlocking mysteries force shocking revelations past
21 Bridges,embattled nypd detective is thrust citywide manhunt pair cop killers uncovering massive unexpected conspiracy
Apocalypto,as mayan kingdom faces decline young man is taken perilous journey world ruled fear oppression
Jack Reacher,homicide investigator digs deeper case involving trained military sniper responsible mass shooting
Drive,action drama mysterious hollywood stuntman mechanic who moonlights as getaway driver finds trouble helps neighbor
Pirates of the Caribbean: On Stranger Tides,jack sparrow barbossa embark quest elusive fountain youth discover blackbeard daughter are
Oblivion,veteran assigned extract earths remaining resources begins question knows mission
The Hunt,strangers wake clearing dont know are got dont know theyve chosen specific purpose hunt
The Hunt,teacher lives lonely life struggling sons custody life slowly gets better as finds love receives good news son new luck is brutally shattered innocent little lie
300,king leonidas sparta force 300 men fight persians thermopylae 480 bc
Suicide Squad,secret government agency recruits dangerous incarcerated supervillains form defensive task force mission save world apocalypse
The Dark Knight Rises,years jokers reign anarchy batman help enigmatic catwoman is forced exile save gotham city brutal guerrilla terrorist bane
Starship Troopers,humans fascist militaristic future wage war giant alien bugs
The Old Guard,covert team immortal mercenaries is suddenly exposed fight identity secret just as unexpected new member is discovered
The Lord of the Rings: The Return of the King,gandalf aragorn lead world men saurons army draw gaze frodo sam as approach mount doom one ring
Pirates of the Caribbean: At World's End,captain barbossa turner elizabeth swann sail edge map navigate treachery betrayal jack sparrow make final alliances one decisive battle
Black Panther,tchalla heir hidden advanced kingdom wakanda step forward lead people new future confront challenger countrys past
Edge of Tomorrow,soldier fighting aliens gets relive day day restarting time dies
Dunkirk,allied soldiers belgium british commonwealth empire france are surrounded german army evacuated fierce battle world war ii
The Marvels,sequel 2019 title captain marvel
Baywatch,devoted lifeguard mitch buchannon butts heads brash new recruit as uncover criminal plot threatens future bay
Waterworld,future polar icecaps melted earth is entirely submerged mutated mariner fights starvation outlaw smokers reluctantly helps woman young girl try dry land
John Wick,exhitman comes retirement track gangsters killed dog took
Twister,jo harding advanced storm chasers brink divorce join create advanced weather alert putting crosshairs extremely violent tornadoes
Black Hawk Down,story 160 elite soldiers who dropped mogadishu october 1993 capture lieutenants renegade warlord desperate battle large force heavilyarmed somalis
Deadpool 2,foulmouthed mutant mercenary wade wilson aka deadpool assembles team fellow mutant rogues protect young boy supernatural abilities brutal timetraveling cyborg cable
Thor,powerful arrogant god thor is cast asgard live humans midgard earth soon one finest defenders
Skyfall,james bonds loyalty m is tested past comes haunt mi6 comes attack 007 track destroy threat matter personal cost
Iron Man,held captive afghan cave billionaire engineer tony stark creates unique weaponized suit armor fight evil
Oldboy,kidnapped imprisoned years oh daesu is released captor days
Oldboy,obsessed vengeance man sets kidnapped locked solitary confinement years reason
The Man from Toronto,worlds deadliest assassin new yorks biggest screwup are mistaken airbnb rental
Black Panther: Wakanda Forever,sequel continue explore world wakanda characters introduced 2018 film
The Informer,exconvict working undercover intentionally gets incarcerated order infiltrate mob maximum security prison
Sicario,idealistic fbi agent is enlisted government task force aid escalating war drugs border area mexico
Solo: A Star Wars Story,board millennium falcon journey galaxy far far away epic actionadventure set course one star wars sagas unlikely heroes
Batman Forever,batman battle district attorney harvey dent who is twoface edward nygma riddler help amorous psychologist young circus acrobat who sidekick robin
Jumanji: The Next Level,jumanji level gang is game changed as return rescue one players brave parts unknown arid deserts snowy mountains escape worlds dangerous game
The Avengers,earths mightiest heroes come learn fight as team are going stop mischievous loki alien army enslaving humanity
The Terminator,human soldier is sent 2029 1984 stop indestructible cyborg killing machine sent year programmed execute young woman unborn son is key humanitys future salvation
John Wick: Chapter 4,
Strange World,legendary clades are family explorers differences threatened topple latest crucial mission
Fury,grizzled tank commander makes tough decisions as crew fight way germany april 1945
Ford v Ferrari,american car designer carroll shelby driver ken miles battle corporate interference laws physics build revolutionary race car ford order defeat ferrari 24 hours le mans 1966
Spider-Man 3,strange black entity world bonds peter parker causes inner turmoil as contends new villains temptations revenge
The Tomorrow War,family man is drafted fight future war fate humanity relies ability confront past
Public Enemies,feds try notorious american gangsters john dillinger baby face nelson pretty boy floyd booming crime wave 1930s
Venom,failed reporter is bonded alien entity one symbiotes who invaded earth takes liking earth decides protect
Brahmastra Part One: Shiva,is story shiva who sets search love selfdiscovery journey face evil forces threaten existence
War of the Worlds,alien invasion threatens future humanity catastrophic nightmare is depicted eyes one american family fighting survival
War of the Worlds,
Fantastic Four,young outsiders teleport alternate dangerous universe alters physical form shocking ways learn harness new abilities work save earth friend turned enemy
Captain America: The First Avenger,steve rogers rejected military soldier transforms captain america taking dose supersoldier serum captain america comes price as attempts warmonger terrorist organization
Terminator 2: Judgment Day,cyborg identical one who failed kill sarah connor protect tenyearold son john advanced powerful cyborg
Tropic Thunder,series freak occurrences group actors shooting bigbudget war movie are forced soldiers are portraying
Star Trek,brash james t kirk tries live fathers legacy mr spock keeping check as vengeful romulan future creates black holes destroy federation one planet time
The Revenant,frontiersman fur trading expedition 1820s fights survival mauled bear left dead members hunting team
Godzilla vs. Kong,epic chapter cinematic monsterverse pits greatest icons motion picture history otherthe fearsome godzilla mighty kongwith humanity caught balance
Guardians of the Galaxy Vol. 3,plot unknown installment guardians galaxy franchise
Dune: Part Two,duke paul atreides joins fremen begins spiritual martial journey muaddib trying prevent terrible future hes witnessed holy war spreading known universe
Collateral,cab driver finds hostage engaging contract killer as makes rounds hit hit one night los angeles
The 355,topsecret weapon falls mercenary hands wild card cia agent joins forces international agents lethal mission retrieve staying step ahead mysterious woman whos tracking
Baby Driver,coerced working crime boss young getaway driver finds taking heist doomed fail
Only the Brave,based true story granite mountain hotshots group elite firefighters who risk protect town historic wildfire
"10,000 BC",prehistoric past dleh is mammoth hunter who bonds beautiful evolet warriors horseback capture evolet tribesmen dleh embark odyssey save true love
6 Underground,individuals globe best chosen skill unique desire delete pasts change future
Paws of Fury: The Legend of Hank,hank loveable dog head dreams samurai sets search destiny
The Amazing Spider-Man 2,new york is siege oscorp is spiderman save city swore protect as as loved ones
Jungle Cruise,based disneylands theme park ride small riverboat takes group travelers jungle filled dangerous animals reptiles supernatural element
Infinite,man discovers hallucinations are actually visions past lives
The Fast and the Furious,los angeles police officer brian oconner decide loyalty really lies enamored street racing world sent undercover destroy
Guardians of the Galaxy Vol. 2,guardians struggle as team dealing personal family issues notably starlords encounter father ambitious celestial ego
Fast X,plot unknown
Justice League,fueled restored faith humanity inspired supermans selfless act bruce wayne enlists help newfound ally diana prince face greater enemy
Batman,dark knight gotham city begins war crime major enemy jack napier criminal who clownishly homicidal joker
Batman,dynamic duo faces supervillains who plan hold world ransom help secret invention instantly dehydrates people
DC League of Super-Pets,krypto superdog superman are inseparable best friends sharing superpowers fighting crime metropolis krypto master powers rescue mission superman is kidnapped
Spider-Man: Across the Spider-Verse,miles morales returns chapter oscar®winning spiderverse saga epic adventure transport brooklyns fulltime friendly neighborhood spiderman multiverse join forces gwen stacy new team spiderpeople face read
Speed,young police officer prevent bomb exploding aboard city bus keeping speed 50 mph
Indiana Jones and the Last Crusade,1938 father professor henry jones sr goes missing pursuing holy grail professor henry indiana jones jr finds adolf hitlers nazis stop obtaining powers
The Last Samurai,american military advisor embraces samurai culture hired destroy is captured battle
The Last Samurai,toranosuke sugi brave loyal samurai fights practice preserve masters teachings amid civil war friends cave temptation stand principle freedom
Transformers,ancient struggle cybertronian races heroic autobots evil decepticons comes earth clue ultimate power held teenager
Logan,future mutants are nearly extinct elderly weary logan leads quiet life laura mutant child pursued scientists comes help safety
Armageddon,discovering asteroid size texas impact earth month nasa recruits misfit team deepcore drillers save planet
Spider-Man: Far from Home,following events avengers endgame 2019 spiderman step new threats world changed forever
Ready or Not,brides wedding night takes sinister turn eccentric new inlaws force terrifying game
The Crow,man brutally murdered comes life as undead avenger fiancées murder
Kill Bill: Vol. 1,awakening fouryear coma assassin wreaks vengeance team assassins who betrayed
Minority Report,future special police unit is able arrest murderers commit crimes officer unit is accused future murder
Ready Player One,creator virtual reality called oasis dies makes posthumous challenge oasis users easter egg finder fortune control world
Hell or High Water,divorced father excon older brother resort desperate scheme order save familys ranch west texas
Man of Steel,alien child is evacuated dying world sent earth live humans peace is threatened survivors home planet invade earth
The Lord of the Rings: The Two Towers,frodo sam edge closer mordor help shifty gollum divided fellowship makes stand saurons new ally saruman hordes isengard
The Harder They Fall,outlaw discovers enemy is released prison reunites gang seek revenge
Kick-Ass,dave lizewski is unnoticed high school student comic book fan who one day decides superhero powers training meaningful reason
Shazam!,newly fostered young boy search mother instead finds unexpected super powers soon gains powerful enemy
Jumanji: Welcome to the Jungle,teenagers are sucked magical video game way escape is work finish game
The Incredibles,trying lead quiet suburban life family undercover superheroes are forced action save world
Con Air,newlyparoled excon ranger cameron poe finds trapped prisonertransport plane passengers seize control
Wonder Woman 1984,diana contend work colleague businessman desire extreme wealth sends world path destruction ancient artifact grants wishes goes missing
Predestination,final assignment temporal agent pursue one criminal eluded time chase turns unique surprising mindbending exploration love fate identity time travel taboos
Indiana Jones and the Temple of Doom,1935 indiana jones arrives india british empire is asked mystical stone stumbles secret cult committing enslavement human sacrifices catacombs ancient palace
Avengers: Age of Ultron,tony stark bruce banner try jumpstart dormant peacekeeping program called ultron things horribly wrong earths mightiest heroes stop villainous ultron enacting terrible plan
The School for Good and Evil,group boys girls are taken institution are trained fairy talelike heroes villains
The Fighter,based story micky ward fledgling boxer who tries escape shadow famous troubled older boxing brother shot greatness
Kingsman: The Golden Circle,kingsmans headquarters are destroyed world is held hostage allied spy organisation united states is discovered elite secret organisations band defeat common enemy
Wonder Woman,pilot crashes tells conflict outside world diana amazonian warrior training leaves home fight war discovering powers true destiny
Knowing,mit professor john koestler links mysterious list numbers time capsule past future disasters sets prevent ultimate catastrophe
Mortal Kombat,mma fighter cole young seeks earths greatest champions order stand enemies outworld high stakes battle universe
Zombieland,shy student trying reach family ohio guntoting bruiser search twinkie pair sisters striving amusement park join forces trek zombiefilled america
El Camino: A Breaking Bad Movie,fugitive jesse pinkman runs captors law past
The Magnificent Seven,seven gunmen variety backgrounds are brought vengeful young widow protect town private army destructive industrialist
The Other Guys,mismatched new york city detectives seize opportunity step like citys cops idolize things dont quite as planned
Transformers: Rise of the Beasts,plot unknown reportedly based transformers spinoff beast wars feature robots transform robotic animals
Hellboy,based graphic novels mike mignola hellboy caught worlds supernatural human battles ancient sorceress bent revenge
The Maze Runner,thomas is deposited community boys memory is erased soon learning theyre trapped maze require join forces fellow runners shot escape
Raya and the Last Dragon,realm known as kumandra reimagined earth inhabited ancient civilization warrior named raya is determined dragon
Men in Black,police officer joins secret organization polices monitors extraterrestrial interactions earth
Shazam! Fury of the Gods,sequel 2019 film shazam plot details are known
Midnight in the Switchgrass,fbi agent florida state officer team investigate string unsolved murder cases
Army of the Dead,following zombie outbreak las vegas group mercenaries ultimate gamble venturing quarantine zone pull greatest heist attempted
Hitman's Wife's Bodyguard,bodyguard michael bryce continues friendship assassin darius kincaid as try save darius wife sonia
Scott Pilgrim vs. the World,magically realistic version toronto young man defeat new girlfriends seven evil exes one one order win heart
Captain America: Civil War,political involvement avengers affairs causes rift captain america iron man
The Hitman's Bodyguard,one worlds bodyguards gets new client world class hitman who testify international criminal court differences aside work make trial alive time
The Predator,young boy accidentally triggers universes lethal hunters return earth ragtag crew exsoldiers disgruntled scientist prevent end human race
Quantum of Solace,james bond descends mystery as tries stop mysterious organisation eliminating countrys valuable resource
Days of Thunder,young hotshot stock car driver gets chance compete level
Knight and Day,young woman gets mixed disgraced spy who is trying clear
Taken,retired cia agent travels europe relies old skills save estranged daughter who kidnapped trip paris
The Mask,bank clerk stanley ipkiss is transformed manic superhero wears mysterious mask
The Fugitive,dr richard kimble unjustly accused murdering wife real killer target nationwide manhunt led seasoned marshal
Thor: The Dark World,dark elves attempt plunge universe darkness thor embark perilous personal journey reunite doctor jane foster
Gods of Egypt,mortal hero bek teams god horus alliance set merciless god darkness who usurped egypts throne plunging peaceful prosperous empire chaos conflict
Batgirl,based popular dc character barbara gordon dons guise batgirl fight crime
Rush,merciless 1970s rivalry formula one rivals james hunt niki lauda
Extraction,tyler rake fearless black market mercenary embarks deadly extraction career hes enlisted rescue kidnapped son imprisoned international crime lord
The Rock,mildmannered chemist excon lead counterstrike rogue group military men led renegade general threaten nerve gas attack alcatraz san francisco
World War Z,united nations employee gerry lane traverses world race time stop zombie pandemic is toppling armies governments threatens destroy humanity
Battleship,fleet ships is forced battle armada unknown origins order discover thwart destructive goals
K.G.F: Chapter 1,1970s gangster goes undercover as slave assassinate owner notorious gold
Attack,witness rise army soldier as realizes destiny comes terms indias super soldier created combat terrorists as fights inner demons outer enemieswith lots action
Batman & Robin,batman robin try relationship as stop mr freeze poison ivy freezing gotham city
The Tourist,revolves frank american tourist visiting italy mend broken heart elise is extraordinary woman who deliberately crosses path
Alita: Battle Angel,deactivated cyborgs revived remember past goes quest who is
Batman Returns,batman deals deformed man calling penguin wreaking havoc gotham help cruel businessman female employee catwoman vendetta
In Time,future people stop aging 25 are engineered live one year having means buy way situation is shot immortal youth salas finds accused murder run hostage connection read
The Equalizer,man who believes mysterious past stand idly meets young girl control ultraviolent russian gangsters
Argylle,worlds greatest spy argylle gets caught globetrotting adventure
V for Vendetta,future british dystopian society shadowy freedom fighter known alias v plots overthrow tyrannical government help young woman
The Siege of Robin Hood,merciless sheriff nottingham orders brutal attack family young man named robin swears bloody revenge men responsible vowing restore freedom trapped realms oppressive rule
The Bourne Identity,man is picked fishing boat bulletriddled suffering amnesia racing elude assassins attempting regain memory
Point Break,fbi agent goes undercover catch gang surfers who bank robbers
Power Rangers,group highschool students who are infused unique superpowers harness abilities order save world
Sucker Punch,young girl institutionalized abusive stepfather retreats alternative reality as coping strategy envisions plan help escape
X-Men,world mutants evolved superpowered humans exist are discriminated groups form inevitable clash supremacist brotherhood pacifist xmen
Don't Breathe 2,sequel is set years following initial deadly home invasion norman nordstrom stephen lang lives quiet solace past sins catch
Army of Thieves,prequel set events army dead focuses german safecracker ludwig dieter leading group aspiring thieves secret heist early stages zombie apocalypse
Superman,alien orphan is sent dying planet earth grows adoptive homes greatest superhero
The Incredible Hulk,bruce banner scientist run government cure monster turns loses temper
Highlander,immortal scottish swordsman confront immortal opponent murderously brutal barbarian who lusts fabled prize
Kaithi,dilli exconvict endeavours meet daughter time leaving prison attempts are interrupted drug raid planned inspector bejoy
Kingdom of Heaven,balian ibelin travels jerusalem crusades 12th century finds as defender city people
Greenland,family struggles survival face cataclysmic natural disaster
The Legend of Tarzan,tarzan having acclimated life london is called home jungle investigate activities mining encampment
The Meg,group scientists exploring marianas trench encounter largest marine predator existed megalodon
